Category ID;Active (0/1);Name *;Parent category;Description;Meta title;Meta keywords;Meta description;URL-rewritten
80754;1;700 XSR;XSR;Todos los recambios YAMAHA 700 XSR. Accesorios y repuestos para tu moto. Aceite, pastillas de freno, kit de transmision, filtros, neumáticos, anti robos, escapes, cupulas, maletas.;YAMAHA 700 XSR: recambios, accesorios, repuestos para tu moto;700 XSR, motos, aceite, pastillas freno, kit transmision, filtros, neumaticos, anti robos, escapes, cupulas, maletas, pistones, embragues, protectores, recambios;Recambios YAMAHA 700 XSR. Compra tus accesorios y repuestos al precio más barato en nuestra tienda de moto online. Envío 24/48 horas*.;YAMAHA-700-XSR
80755;1;700 XSR ABS;XSR;Todos los recambios YAMAHA 700 XSR ABS. Accesorios y repuestos para tu moto. Aceite, pastillas de freno, kit de transmision, filtros, neumáticos, anti robos, escapes, cupulas, maletas.;YAMAHA 700 XSR ABS: recambios, accesorios, repuestos para tu moto;700 XSR ABS, motos, aceite, pastillas freno, kit transmision, filtros, neumaticos, anti robos, escapes, cupulas, maletas, pistones, embragues, protectores, recambios;Recambios YAMAHA 700 XSR ABS. Compra tus accesorios y repuestos al precio más barato en nuestra tienda de moto online. Envío 24/48 horas*.;YAMAHA-700-XSR-ABS
80753;1;900 XSR;XSR;Todos los recambios YAMAHA 900 XSR. Accesorios y repuestos para tu moto. Aceite, pastillas de freno, kit de transmision, filtros, neumáticos, anti robos, escapes, cupulas, maletas.;YAMAHA 900 XSR: recambios, accesorios, repuestos para tu moto;900 XSR, motos, aceite, pastillas freno, kit transmision, filtros, neumaticos, anti robos, escapes, cupulas, maletas, pistones, embragues, protectores, recambios;Recambios YAMAHA 900 XSR. Compra tus accesorios y repuestos al precio más barato en nuestra tienda de moto online. Envío 24/48 horas*.;YAMAHA-900-XSR
80751;1;900 XSR ABS;XSR;Todos los recambios YAMAHA 900 XSR ABS. Accesorios y repuestos para tu moto. Aceite, pastillas de freno, kit de transmision, filtros, neumáticos, anti robos, escapes, cupulas, maletas.;YAMAHA 900 XSR ABS: recambios, accesorios, repuestos para tu moto;900 XSR ABS, motos, aceite, pastillas freno, kit transmision, filtros, neumaticos, anti robos, escapes, cupulas, maletas, pistones, embragues, protectores, recambios;Recambios YAMAHA 900 XSR ABS. Compra tus accesorios y repuestos al precio más barato en nuestra tienda de moto online. Envío 24/48 horas*.;YAMAHA-900-XSR-ABS
